Česká glosa;Řečtina;Cvičení;LSJ
Iktinos;ὁ Ἰκτῖνος, ου;79;
dělám, vytvářím;ἐργάζομαι;79;
když;ἐπειδή;79;
strach;τὸ δέος, ους;79;
spím;καθεύδω;79;
na hostinu;κατά δαῖτα (ἡ δαίς, τός);79;
krátký čas;ὀλίγον χρόνον (ak. čas. míry);79;
skrovný, krátký;ὀλίγος 3;79;
vydržuji, snáším;ἀν-έχομαι;79;
nechávám;ἐῶ, ᾶν;79;
vycházím;ἔξ-ειμι, ιέναι;79;
kupuji zač;ὠνοῦμαι, εῖσθαι (+gen);79;
jablko;τὸ μῆλον, ου;79;
žiji;ζῶ, ζῆν;80;
toužím, dychtím;ἐπιθυμῶ, εῖν;80;
lačním;πεινῶ, ῆν;80;
žízním;διψῶ, ῆν;80;
užívám (+dat.);χρῶμαι, ῆσθαι (+dat.);80;
protivný, opačný, naproti;ἐναντίος 3;80;
miluji moudrost, zabývám se filosofií;φιλοσοφῶ, εῖν;80;
zkoumám;ἐξ-ετάζω;80;
rádce;ὁ σύμ-βουλος, ου;80;
hledím, pozoruji;σκοπῶ, εῖν;80;
jak;πῶς;80;
hospodařím, spravuji;δι-οικῶ, εῖν;80;
= ἐπί τούτοις, ἅ;ἐφ᾽οἷς;81;
nestoudný;ἀν-αιδής 2;81;
Andromaché;ἡ Ἀνδρομάχη, ης;81;
slzím, pláči;δακρύω;81;
bůh delfský;ὁ ἐν Δελφοῖς θεός;81;
prožívám život;διατελῶ (εῖν) τὸν βίον;81;
odplouvám;ἀπο-πλέω;82;
Achajové;οἱ Ἀχαιοί, ῶν;82;
rozptyluji;δια-σκεδάννυμι;82;
vítr;ὁ ἄνεμος, ου;82;
severák;ὁ βορρᾶς;82;
docela, naprosto;παντάπασι;82;
spaluji;ἀπο-καίω;82;
večer;ἡ ἑσπέρα, ας;82;
doplouvám;κατα-πλέω;82;
pevnina;ἡ ἤπειρος, ου;82;
číšník (ten, kdo nalévá víno);ὁ οἰνοχόος (χέω);82;
slušný, způsobný;εὐ-σχήμων 2;82;
upevňuji;πήγνυμι;82;
nalévám;ἐγ-χέω;82;
Astyages (médský král);ὁ Ἀστυάγης, ους;82;
děd;ὁ πάππος, ου;82;
svěřuji, dovoluji;ἐπι-τρέπω;82;
třesu se, trnu;τρέω;82;
přirozené nadání;ἡ φύσις, εως;82;
cvičení;ἡ ἄσκησις, εως;82;
vyučování, výchova;ἡ διδασκαλία, ας;82;
útočiště;ἡ καταφυγή, ῆς;82;
přístav;ὁ λιμήν, ένος;82;
mládí;ἡ νεότης, ητος;82;
Aischylos;ὁ Αἰσχύλος, ου;82;
dobývám si, získávám (+akuz.);κτῶμαι, ᾶσθαι (+akuz.);83;
obcuji s někým;συν-δια-τρίβω (+dat.);83;
zevrubný, důkladný, přesný;ἀκριβής 2;83;
zkoumání, zkouška;ἡ δοκιμασία, ας;83;
chybuji;ἁμαρτάνω;83;
to, v čem se chybuje, chyby;τὰ ἁμαρτανόμενα;83;
volnost slova;ἡ παρρησία, ας;83;
dobře smýšlím;εὖ φρονῶ, εῖν;83;
spolu zkoumám;συν-δοκιμάζω;83;
jsem v nejistotě, na rozpacích;ἀμφι-γνοῶ, εῖν;83;
prohlížím, zkoumám;δι-ορῶ, ᾶν;83;
řemeslně;τέχνῃ;83;
ošetřuji, sloužím;θεραπεύω;83;
poznávám;γνωρίζω;83;
jaký;ὁποῖος 3;83;
který právě;ὅσ-περ,ἥ-περ, ὅ-περ;83;
chybuji;ἐξ-αμαρτάνω;83;
vysedám na koně;ἀναβαίνω ἐπί τὸν ἵππον;84;
sestavuji se, seřazuji se;συνίσταμαι;84;
Filoktétes;ὁ Φιλοκτήτης, ου;84;
had;ὁ ὄφις, εως;84;
kousám;δάκνω;84;
Aigiňan (z Aigíny);ὁ Αἰγινήτης, ου;84;
vyháním;ἐξελαύνω;84;
ženu;ἐλαύνω;84;
umdlévám;κάμνω;84;
Hérodotos;ὁ Ἡρόδοτος, ου;84;
Aristagoras (tyran);ὁ Ἀρισταγόρας, ου;84;
deska;ὁ πίναξ, ακος;84;
obvod;ἡ περί-οδος, ου;84;
řežu;τέμνω;84;
vyrývám;ἐντέμνω;84;
odpykávám trest (za);δίκην (τινός) τίνω;84;
Odysseus;ὁ Ὀδυσσεύς, έως;84;
domů;οἴκαδε;84;
vracím se;νοστῶ, εῖν;84;
zda?;ἆρα;84;
přicházím;ἀφικνοῦμαι, εῖσθαι;84;
Délos;ἡ Δῆλος, ου;84;
ještě ne;οὔπω;84;
zvětšuji;αὐξάνω;85;
zprotivuji se;ἀπ-εχθάνομαι;85;
šetřím (+gen);φείδομαι (+gen);85;
jsem skryt, zůstávám utajen komu;λανθάνω (+akuz.);85;
pracovitý;φιλό-πονος 2;85;
plod, odměna;ὁ καρπός, οῦ;85;
zapomínám (+gen);ἐπι-λανθάνομαι (+gen);85;
blaženost, štěstí;ἡ εὐδαιμονία, ας;85;
pozoruji;αἰσθάνομαι;85;
dovídám se;πυνθάνομαι;85;
dosahuji, docházím (losem) (+gen);λαγχάνω (+gen);85;
zpozdilý, bláhový;μῶρος 3;86;
trpím;πάσχω;86;
lučištník;ὁ τοξότης, ου;86;
těžce nesu;χαλεπῶς φέρω;86;
umírám;ἀποθνῄσκω;86;
Thales (filosof);θάλης, ητος;86;
nesmyslný;παρά-δοχος;86;
líbím se;ἀρέσκω;86;
prodávám;πιπράσκω;86;
nalézám;εὑρίσκω;86;
připomínám komu (akuz.);ἀνα-μιμνῄσκω (+akuz.);86;
nestřídmý v (+gen);ἀκρατής 2 (+gen.);86;
dospívám;ἡβάσκω;86;
klid, samota;ἡ ἡσυχία, ας;86;
vycházím;ἐξ-έρχομαι;86;
který z obou;πότερος 3;86;
zdám se, míním;δοκῶ, εῖν;87;
nazývám, volám;καλῶ, εῖν;87;
strkám, vytlačuji;ὠθῶ, εῖν;87;
Artemisia;ἡ Ἀρτεμισία, ας;87;
sdílím se (s někým něco);μεταδίδωμι (τινί τινος);87;
potřebuji, prosím (+gen.);δέομαι (+gen);87;
smiřuji se s (dat.);δι-αλλάττομαι (+dat.);87;
horším se na (dat.);ἄχθομαι (dat.);87;
žením se s;γαμῶ, εῖν (akuz.);87;
Héba (bohyně mladosti);ἡ Ἥβη, ης;87;
vyčkávám, čekám na (akuz.);μένω (akuz.);88;
dělím, uděluji;νέμω;88;
rozděluji;διανέμω;88;
Poseidón;ὁ Ποσειδῶν, ῶνος;88;
plutón;ὁ Πλούτων, ωνος;88;
dostávám (od někoho);παρα-λαμβάνω;88;
nabízím;ἐπ-αγγέλλομαι;88;
Ariaios;ὁ Ἀριαῖος, ου;88;
trůn;ὁ θρόνος, ου;88;
královský;βασίλειος 3;88;
posazuji;καθίζω;88;
otázal jsem se;ἠρόμην (aor.);88;
zdali ne, ne?;ἆρ᾽οὐ (ἆρα οὐ);88;
jsem vinen, zasluhuji si;ὀφλισκάνω;88;
lpím na;γλίχομαι (+gen);88;
jsem povinen (díkem);ὀφείλω (χάριν);88;
lituji (+gen.);μετα-μέλει μοι (+gen.);88;
držím se (+gen.);ἔχομαι (+gen.);89;
začínám, jsem po ruce, přítomen;ὑπ-άρχω;89;
přítomné, skutečné věci, přítomnost;τὰ ὑπάρχοντα;89;
pouštím (z ruky);μεθίημι;89;
Peisistratos (tyran);ὁ Πεισίστρατος, ου;89;
Hippias;ὁ Ἱππίας, ου;89;
poskytuji, zjednávám, s dvojím akuz.: osvědčuji se;παρ-έχω;89;
opatřuji si, přivádím si svědka;παρ-έχομαι τὸν μάρτυρα;89;
sboření, strhnutí;ἡ κατα-σκαφή, ῆς;89;
loupení;ἡ ἁρπαγή, ῆς;89;
hostinný přítel;ὁ ξένος, ου;89;
slibuji;ὑπ-ισχνοῦμαι, εῖσθαι;89;
následuji (někoho), přidržuji se (k někomu);ἐφ-έπομαι (τινὶ);89;
stříbro;τὸ ἀργύριον, ου;89;
mina, peněžní hodnota;ἡ μνᾶ, μνᾶς;89;
jakmile;ἐπάν (=ἐπειδάν);89;
Babylón;ἡ Βαβυλών, ῶνος;89;
přicházím, přišel jsem, jsem tu;ἥκω;89;
zřejmý, zjevný, patrný;δῆλος 3;89;
zdali ... či ne;πότερον ... ἤ οὔ;89;
Menón;ὁ Μένων, ωνος;89;
kalich (dvouuchý), pohár, číše;ἡ κύλιξ, ικος;90;
klidný;εὔ-κολος 2;90;
jed;τὸ φάρμακον, ου;90;
vypíjím;ἐκ-πίνω;90;
duch, mysl;ὁ θυμός, οῦ;90;
padám;πίπτω;90;
kazím, podplácím, uplacím;δια-φθείρω;90;
upadám (do něčeho);περι-πίπτω (τινὶ);90;
pozoruji, uvažuji;σκοπῶ, εῖν (i v med.);90;
od (+gen);παρά (+gen);90;
mohu (+inf.);ἔχω (+inf.);90;
neučený, nevědomý;ἀμαθής 2;90;
škoda;ἡ βλάβη, ης;90;
třicet tyrannů;οἱ τριάκοντα (τύραννοι);90;
beru, chytám, zajímám, vybírám, volím;αἱρῶ, εῖν;90;
volím si;αἱροῦμαι, εῖσθαι;90;
strhuji, bořím;καθαιρῶ, εῖν;90;
odstraňuji, ničím, usmrcuji;ἀναιρῶ, εῖν;90;
Cheirisofos, řecký vůdce;ὁ Χειρίσοφος, ου;90;
velitel, vůdce;ὁ ἄρχων, ἄρχοντος;90;
tak veliký, v pl. tolik;τοσοῦτος, τοσαύτη, τοσοῦτο(ν);90;
sluší se, přísluší, je povinnost;προσ-ήκει;90;
Amazonka;ἡ Ἀμαζών, όνος;91;
že;ὡς (=ὅτι);91;
zpět;πάλιν;91;
odcházím, vracím se;ἀπ-έρχομαι;91;
tedy;τοίνυν;91;
předcházím, předstupuji;παρ-έρχομαι;91;
Sófroniskos (otec Sokrata);ὁ Σωφρονίσκος;91;
spatřuji;καθ-ορῶ, ᾶν;91;
propouštím, nechávám minouti;παρ-ίημι;91;
odbíhám, (pryč) utíkám);ἀπο-τρέχω;91;
rámě, plece;ὁ ὦμος, ὤμου;91;
vynáším;ἐκ-φέρω;91;
vojenský, válečný (spolek);ἡ ὁμαιχμία, ας;91;
později;ἔπειτα;91;
roznáším, rozdvojuji;δια-φέρω;91;
rozdvojuji se, různím se, svářím se;δια-φέρομαι;91;
téměř, skoro (vše), asi;σκεδόν;91;
jídlo, potravina;τὸ σιτίον (= ὁ σῖτος);91;
nápoj;τὸ ποτόν, οῦ;91;
jím;ἐσθίω;91;
způsobilý k pití;ποτέος (adv. verbální k πίνω) 3;91;
vlaštovka;ἡ χελιδών, όνος;91;
(roční) doba, období, jaro;ἡ ὥρα, ας;91;
rok, čas;ὁ ἐνιαυτός, οῦ;91;
záda, hřbet (obyčejně v pl.);τὸ νῶτον, ου;91;
na (kde?) (+akuz.);ἐπί (+akuz.);91;
břicho, bříško;ἡ γαστήρ, τρός;91;
myš;ὁ μῦς, μυός;92;
ústa, tlama;τὸ στόμα, ατος;92;
vbíhám;ἐπι-τρέχω;92;
polapuji, chytám;συλ-λαμβάνω;92;
prokazuji vděčnost, vzdávám dík;τίνω χάριν;92;
směji se, usmívám se;γελῶ, ᾶν;92;
zanedlouho potom;ὀλίγῳ χρόνῳ ὕστερον;92;
lovec;ὁ κυνηγός, οῦ;92;
lano, provaz (att. deklinace);ὁ κάλως, κάλω;92;
u, k (+dat.);ἐπί (+dat.);92;
tehdy, tenkráte;τηνικαῦτα;92;
sténám, vzdychám;στένω;92;
přibíhám;προσ-τρέχω;92;
ohryzuji, ohlodávám;περι-τρώγω;92;
vysmívám se (+gen);καταλεγῶ, ᾶν (+gen.);92;
odplata;ἡ ἀμοιβή, ῆς;92;
odnáším, med. odnáším si, dostávám;κομίζω;92;
